# 2022.12.04 created by TopoDroid v 5.1.40
# Francis
# from to tape compass clino (declination undefined)
# units tape meters compass clino degrees
A31@Francis,-,1.36,10.5,-13.7,
A31@Francis,-,2.08,37.2,-67.9,
A31@Francis,-,2.61,64.2,-40.0,
A31@Francis,-,2.17,46.4,4.9,
A31@Francis,A32@Francis,1.30,349.5,-79.0,
A32@Francis,-,5.41,62.4,38.7,
A32@Francis,-,5.57,62.5,38.6,
A32@Francis,-,5.41,62.4,38.6,
A32@Francis,-,0.63,217.9,24.8,
A32@Francis,-,2.92,254.1,-27.8,
A32@Francis,-,1.18,268.5,-24.8,
A32@Francis,-,2.60,213.4,-72.5,
A32@Francis,-,0.64,188.4,-38.4,
A32@Francis,-,0.84,129.2,38.1,
A32@Francis,-,2.41,121.4,70.2,
A32@Francis,A33@Francis,2.53,66.8,19.5,
A33@Francis,-,2.02,77.9,78.9,
A33@Francis,-,0.93,340.7,17.2,
A33@Francis,-,0.76,301.8,8.7,
A33@Francis,-,1.25,260.5,1.2,
A33@Francis,-,0.73,229.5,1.8,
A33@Francis,-,1.87,256.1,37.7,
A33@Francis,-,1.11,293.7,-64.2,
A33@Francis,-,0.75,97.0,-80.1,
A33@Francis,-,2.53,285.6,-84.2,
A33@Francis,-,4.08,313.9,-76.8,
A33@Francis,A34@Francis,2.82,20.7,17.8,
A34@Francis,-,0.91,129.9,1.1,
A34@Francis,-,1.89,124.6,53.2,
A34@Francis,-,2.47,73.7,10.5,
A34@Francis,-,2.47,75.1,10.8,
A34@Francis,A35@Francis,2.42,75.3,11.0,
A35@Francis,-,0.56,313.8,-10.3,
A35@Francis,-,0.53,45.0,72.3,
A35@Francis,-,0.98,312.0,-58.1,
A35@Francis,-,6.70,19.0,-84.9,
A35@Francis,-,0.96,148.1,-84.3,
A35@Francis,-,2.75,19.0,3.1,
A35@Francis,-,2.75,20.8,10.6,
A35@Francis,A36@Francis,2.76,20.9,10.7,
A36@Francis,-,1.27,151.3,-5.3,
A36@Francis,-,3.07,142.3,53.6,
A36@Francis,-,0.58,132.9,74.3,
A36@Francis,A37@Francis,1.78,84.4,7.7,
A37@Francis,-,0.53,330.4,2.0,
A37@Francis,-,1.62,56.5,17.3,
A37@Francis,-,2.30,90.6,66.8,
A37@Francis,-,6.09,163.5,66.1,
A37@Francis,-,0.55,334.6,4.1,
A37@Francis,-,1.94,334.6,-65.1,
A37@Francis,-,4.02,232.8,8.2,
A37@Francis,-,2.23,218.2,16.7,
A37@Francis,-,0.76,30.7,0.9,
A37@Francis,A38@Francis,1.10,30.9,0.9,
A38@Francis,-,1.23,66.7,-4.3,
A38@Francis,-,1.09,122.7,-5.4,
A38@Francis,A39@Francis,8.16,37.0,-67.2,
A39@Francis,-,1.69,71.7,45.6,
A39@Francis,-,4.53,76.7,15.2,
A39@Francis,-,1.34,105.8,17.4,
A39@Francis,-,6.54,232.7,54.9,
A39@Francis,-,3.19,238.3,15.3,
